Nr registo;Substancia Ativa;Nome do medicamento;Forma farmacêeutica;Dosagem;Unit;Tamanho da embalagem;Unidade(s);CNPEM;Preçco;Comerc.;Generico;;;;;
5435649;Donepezilo;Donepezilo Aurovitas;Comprimido orodispersível;5;mg;28;unidade(s);50043650;26.71;Comercializado;True;;;;;
5435656;Donepezilo;Donepezilo Aurovitas;Comprimido orodispersível;5;mg;56;unidade(s);50043668;40.61;Comercializado;True;;;;;
5228143;Donepezilo;Donepezilo Aurovitas;Comprimido revestido por película;10;mg;56;unidade(s);50002414;12.45;Comercializado;True;;;;;
5228077;Donepezilo;Donepezilo Aurovitas;Comprimido revestido por película;5;mg;28;unidade(s);50002376;38.49;Comercializado;True;;;;;
5228101;Donepezilo;Donepezilo Aurovitas;Comprimido revestido por película;5;mg;56;unidade(s);50002392;11.61;Comercializado;True;;;;;
5125752;Donepezilo;Donepezilo Azevedos;Comprimido revestido por película;10;mg;56;unidade(s);50002414;33.99;Temporariamente indisponível;True;;;;;
5125729;Donepezilo;Donepezilo Azevedos;Comprimido revestido por película;5;mg;56;unidade(s);50002392;32.47;Temporariamente indisponível;True;;;;;
5242938;Donepezilo;Donepezilo Blixie;Comprimido revestido por película;10;mg;28;unidade(s);50002406;43.67;False comercializado;True;;;;;
5242946;Donepezilo;Donepezilo Blixie;Comprimido revestido por película;10;mg;56;unidade(s);50002414;72.61;False comercializado;True;;;;;
5242243;Donepezilo;Donepezilo Blixie;Comprimido revestido por película;5;mg;28;unidade(s);50002376;38.49;False comercializado;True;;;;;
5242904;Donepezilo;Donepezilo Blixie;Comprimido revestido por película;5;mg;56;unidade(s);50002392;60.92;False comercializado;True;;;;;
5453667;Donepezilo;Donepezilo Bluefish;Comprimido revestido por película;10;mg;28;unidade(s);50002406;5.37;Comercializado;True;;;;;
5453675;Donepezilo;Donepezilo Bluefish;Comprimido revestido por película;10;mg;56;unidade(s);50002414;9.69;Comercializado;True;;;;;
5453600;Donepezilo;Donepezilo Bluefish;Comprimido revestido por película;5;mg;28;unidade(s);50002376;5.00;Comercializado;True;;;;;
5453618;Donepezilo;Donepezilo Bluefish;Comprimido revestido por película;5;mg;56;unidade(s);50002392;8.97;Comercializado;True;;;;;
5125836;Donepezilo;Donepezilo Bluepharma;Comprimido revestido por película;10;mg;56;unidade(s);50002414;12.65;Comercializado;True;;;;;
5125778;Donepezilo;Donepezilo Bluepharma;Comprimido revestido por película;5;mg;28;unidade(s);50002376;9.00;Comercializado;True;;;;;
5125802;Donepezilo;Donepezilo Bluepharma;Comprimido revestido por película;5;mg;56;unidade(s);50002392;9.35;Comercializado;True;;;;;
5295456;Donepezilo;Donepezilo Ciclum;Comprimido revestido por película;10;mg;28;unidade(s);50002406;5.05;Comercializado;True;;;;;
5295464;Donepezilo;Donepezilo Ciclum;Comprimido revestido por película;10;mg;56;unidade(s);50002414;8.42;Comercializado;True;;;;;
5295423;Donepezilo;Donepezilo Ciclum;Comprimido revestido por película;5;mg;28;unidade(s);50002376;4.66;Comercializado;True;;;;;
5295431;Donepezilo;Donepezilo Ciclum;Comprimido revestido por película;5;mg;56;unidade(s);50002392;8.20;Comercializado;True;;;;;
5248810;Donepezilo;Donepezilo Cinfa;Comprimido;10;mg;28;unidade(s);50002406;6.12;Comercializado;True;;;;;
5248828;Donepezilo;Donepezilo Cinfa;Comprimido;10;mg;56;unidade(s);50002414;11.55;Comercializado;True;;;;;
5248778;Donepezilo;Donepezilo Cinfa;Comprimido;5;mg;56;unidade(s);50002392;9.49;Comercializado;True;;;;;
5248760;Donepezilo;Donepezilo Cinfa;Comprimido;5;mg;28;unidade(s);50002376;6.00;Comercializado;True;;;;;
5217518;Donepezilo;Donepezilo Farmoz;Comprimido revestido por película;10;mg;56;unidade(s);50002414;11.25;Comercializado;True;;;;;
5217500;Donepezilo;Donepezilo Farmoz;Comprimido revestido por película;10;mg;28;unidade(s);50002406;9.54;Comercializado;True;;;;;
5217443;Donepezilo;Donepezilo Farmoz;Comprimido revestido por película;5;mg;28;unidade(s);50002376;5.74;Comercializado;True;;;;;
5217450;Donepezilo;Donepezilo Farmoz;Comprimido revestido por película;5;mg;56;unidade(s);50002392;9.50;Comercializado;True;;;;;
5217401;Donepezilo;Donepezilo Fixime;Comprimido revestido por película;10;mg;28;unidade(s);50002406;9.75;Comercializado;True;;;;;
5217419;Donepezilo;Donepezilo Fixime;Comprimido revestido por película;10;mg;56;unidade(s);50002414;11.25;Comercializado;True;;;;;
5216718;Donepezilo;Donepezilo Fixime;Comprimido revestido por película;5;mg;28;unidade(s);50002376;5.74;Comercializado;True;;;;;
5216726;Donepezilo;Donepezilo Fixime;Comprimido revestido por película;5;mg;56;unidade(s);50002392;9.50;Comercializado;True;;;;;
5039201;Donepezilo;Donepezilo Genedec;Comprimido revestido por película;10;mg;56;unidade(s);50002414;18.20;Comercializado;True;;;;;
5039078;Donepezilo;Donepezilo Genedec;Comprimido revestido por película;5;mg;28;unidade(s);50002376;8.30;Comercializado;True;;;;;
5039110;Donepezilo;Donepezilo Genedec;Comprimido revestido por película;5;mg;56;unidade(s);50002392;13.35;Comercializado;True;;;;;
5023916;Donepezilo;Donepezilo Generis;Comprimido revestido por película;10;mg;28;unidade(s);50002406;8.65;False comercializado;True;;;;;
5023924;Donepezilo;Donepezilo Generis;Comprimido revestido por película;10;mg;56;unidade(s);50002414;17.78;Comercializado;True;;;;;
5023833;Donepezilo;Donepezilo Generis;Comprimido revestido por película;5;mg;28;unidade(s);50002376;8.38;Comercializado;True;;;;;
5023841;Donepezilo;Donepezilo Generis;Comprimido revestido por película;5;mg;56;unidade(s);50002392;17.20;Comercializado;True;;;;;
5327432;Donepezilo;Donepezilo Germed;Comprimido revestido por película;10;mg;28;unidade(s);50002406;21.27;False comercializado;True;;;;;
5327440;Donepezilo;Donepezilo Germed;Comprimido revestido por película;10;mg;56;unidade(s);50002414;38.28;False comercializado;True;;;;;
5327416;Donepezilo;Donepezilo Germed;Comprimido revestido por película;5;mg;28;unidade(s);50002376;18.96;False comercializado;True;;;;;
5327424;Donepezilo;Donepezilo Germed;Comprimido revestido por película;5;mg;56;unidade(s);50002392;34.21;False comercializado;True;;;;;
5222237;Donepezilo;Donepezilo GP;Comprimido revestido por película;10;mg;28;unidade(s);50002406;5.70;Comercializado;True;;;;;
5222245;Donepezilo;Donepezilo GP;Comprimido revestido por película;10;mg;56;unidade(s);50002414;11.36;Comercializado;True;;;;;
5220561;Donepezilo;Donepezilo GP;Comprimido revestido por película;5;mg;28;unidade(s);50002376;5.50;Comercializado;True;;;;;
5222203;Donepezilo;Donepezilo GP;Comprimido revestido por película;5;mg;56;unidade(s);50002392;8.94;Comercializado;True;;;;;
5222336;Donepezilo;Donepezilo Jaba;Comprimido revestido por película;10;mg;28;unidade(s);50002406;4.80;Comercializado;True;;;;;
5222344;Donepezilo;Donepezilo Jaba;Comprimido revestido por película;10;mg;56;unidade(s);50002414;8.28;Comercializado;True;;;;;
5222278;Donepezilo;Donepezilo Jaba;Comprimido revestido por película;5;mg;28;unidade(s);50002376;4.38;Comercializado;True;;;;;
5222302;Donepezilo;Donepezilo Jaba;Comprimido revestido por película;5;mg;56;unidade(s);50002392;7.92;Comercializado;True;;;;;
5367867;Donepezilo;Donepezilo Krka;Comprimido orodispersível;10;mg;28;unidade(s);50043684;40.61;False comercializado;True;;;;;
5367875;Donepezilo;Donepezilo Krka;Comprimido orodispersível;10;mg;56;unidade(s);50043692;46.94;Comercializado;True;;;;;
5367842;Donepezilo;Donepezilo Krka;Comprimido orodispersível;5;mg;28;unidade(s);50043650;35.45;Comercializado;True;;;;;
5367859;Donepezilo;Donepezilo Krka;Comprimido orodispersível;5;mg;56;unidade(s);50043668;42.39;Comercializado;True;;;;;
5121579;Donepezilo;Donepezilo KRKA;Comprimido revestido por película;10;mg;28;unidade(s);50002406;8.92;Comercializado;True;;;;;
5184312;Donepezilo;Donepezilo KRKA;Comprimido revestido por película;10;mg;56;unidade(s);50002414;16.00;Comercializado;True;;;;;
5121512;Donepezilo;Donepezilo KRKA;Comprimido revestido por película;5;mg;28;unidade(s);50002376;5.59;Comercializado;True;;;;;
5184270;Donepezilo;Donepezilo KRKA;Comprimido revestido por película;5;mg;56;unidade(s);50002392;9.74;Comercializado;True;;;;;
5024062;Donepezilo;Donepezilo Lixben;Comprimido revestido por película;10;mg;56;unidade(s);50002414;11.70;Temporariamente indisponível;True;;;;;
5024054;Donepezilo;Donepezilo Lixben;Comprimido revestido por película;10;mg;28;unidade(s);50002406;43.67;Temporariamente indisponível;True;;;;;
5023973;Donepezilo;Donepezilo Lixben;Comprimido revestido por película;5;mg;28;unidade(s);50002376;38.49;Temporariamente indisponível;True;;;;;
5024005;Donepezilo;Donepezilo Lixben;Comprimido revestido por película;5;mg;56;unidade(s);50002392;9.29;Temporariamente indisponível;True;;;;;
5302146;Donepezilo;Donepezilo Mylan;Comprimido orodispersível;10;mg;28;unidade(s);50043684;42.76;Comercializado;True;;;;;
5302153;Donepezilo;Donepezilo Mylan;Comprimido orodispersível;10;mg;56;unidade(s);50043692;46.94;Comercializado;True;;;;;
5302112;Donepezilo;Donepezilo Mylan;Comprimido orodispersível;5;mg;28;unidade(s);50043650;26.96;Comercializado;True;;;;;
5302120;Donepezilo;Donepezilo Mylan;Comprimido orodispersível;5;mg;56;unidade(s);50043668;44.66;Comercializado;True;;;;;
5214077;Donepezilo;Donepezilo Mylan;Comprimido revestido por película;10;mg;28;unidade(s);50002406;14.10;Comercializado;True;;;;;
5214101;Donepezilo;Donepezilo Mylan;Comprimido revestido por película;10;mg;56;unidade(s);50002414;14.10;Comercializado;True;;;;;
5214051;Donepezilo;Donepezilo Mylan;Comprimido revestido por película;5;mg;28;unidade(s);50002376;4.74;Comercializado;True;;;;;
5214069;Donepezilo;Donepezilo Mylan;Comprimido revestido por película;5;mg;56;unidade(s);50002392;9.30;Comercializado;True;;;;;
5450978;Donepezilo;Donepezilo Pharmakern;Comprimido orodispersível;10;mg;28;unidade(s);50043684;36.98;Temporariamente indisponível;True;;;;;
5451000;Donepezilo;Donepezilo Pharmakern;Comprimido orodispersível;10;mg;56;unidade(s);50043692;42.00;Comercializado;True;;;;;
5450945;Donepezilo;Donepezilo Pharmakern;Comprimido orodispersível;5;mg;56;unidade(s);50043668;37.81;Comercializado;True;;;;;
5450937;Donepezilo;Donepezilo Pharmakern;Comprimido orodispersível;5;mg;28;unidade(s);50043650;25.00;Temporariamente indisponível;True;;;;;
5247507;Donepezilo;Donepezilo Pharmakern;Comprimido revestido por película;10;mg;28;unidade(s);50002406;9.75;Temporariamente indisponível;True;;;;;
5247515;Donepezilo;Donepezilo Pharmakern;Comprimido revestido por película;10;mg;56;unidade(s);50002414;11.00;Comercializado;True;;;;;
5247465;Donepezilo;Donepezilo Pharmakern;Comprimido revestido por película;5;mg;28;unidade(s);50002376;8.39;Temporariamente indisponível;True;;;;;
5247473;Donepezilo;Donepezilo Pharmakern;Comprimido revestido por película;5;mg;56;unidade(s);50002392;9.00;Comercializado;True;;;;;
5366752;Donepezilo;Donepezilo Ratiopharm;Comprimido orodispersível;10;mg;56;unidade(s);50043692;46.94;Comercializado;True;;;;;
5366737;Donepezilo;Donepezilo Ratiopharm;Comprimido orodispersível;5;mg;56;unidade(s);50043668;42.40;Comercializado;True;;;;;
5366729;Donepezilo;Donepezilo Ratiopharm;Comprimido orodispersível;5;mg;28;unidade(s);50043650;35.79;Comercializado;True;;;;;
5201934;Donepezilo;Donepezilo Ratiopharm;Comprimido revestido por película;10;mg;28;unidade(s);50002406;43.67;Comercializado;True;;;;;
5201959;Donepezilo;Donepezilo Ratiopharm;Comprimido revestido por película;10;mg;56;unidade(s);50002414;32.23;Comercializado;True;;;;;
5201868;Donepezilo;Donepezilo Ratiopharm;Comprimido revestido por película;5;mg;28;unidade(s);50002376;38.49;Comercializado;True;;;;;
5201900;Donepezilo;Donepezilo Ratiopharm;Comprimido revestido por película;5;mg;56;unidade(s);50002392;26.76;Comercializado;True;;;;;
5149646;Donepezilo;Donepezilo Sandoz;Comprimido revestido por película;10;mg;56;unidade(s);50002414;16.00;Comercializado;True;;;;;
5149570;Donepezilo;Donepezilo Sandoz;Comprimido revestido por película;5;mg;7;unidade(s);50002384;3.96;Temporariamente indisponível;True;;;;;
5149612;Donepezilo;Donepezilo Sandoz;Comprimido revestido por película;5;mg;56;unidade(s);50002392;9.74;Comercializado;True;;;;;
5444864;Donepezilo;Donepezilo Teva;Comprimido revestido por película;10;mg;56;unidade(s);50002414;8.57;Comercializado;True;;;;;
5444849;Donepezilo;Donepezilo Teva;Comprimido revestido por película;5;mg;56;unidade(s);50002392;8.20;Comercializado;True;;;;;
5444831;Donepezilo;Donepezilo Teva;Comprimido revestido por película;5;mg;28;unidade(s);50002376;4.60;Comercializado;True;;;;;
5464821;Donepezilo;Donepezilo toLife;Comprimido orodispersível;10;mg;56;unidade(s);50043692;41.98;Comercializado;True;;;;;
5464771;Donepezilo;Donepezilo toLife;Comprimido orodispersível;5;mg;28;unidade(s);50043650;24.07;Comercializado;True;;;;;
5464805;Donepezilo;Donepezilo toLife;Comprimido orodispersível;5;mg;56;unidade(s);50043668;37.81;Comercializado;True;;;;;
5036470;Donepezilo;Donepezilo toLife;Comprimido revestido por película;10;mg;56;unidade(s);50002414;11.25;Comercializado;True;;;;;
5036363;Donepezilo;Donepezilo toLife;Comprimido revestido por película;5;mg;28;unidade(s);50002376;5.39;Comercializado;True;;;;;
5036371;Donepezilo;Donepezilo toLife;Comprimido revestido por película;5;mg;56;unidade(s);50002392;9.35;Comercializado;True;;;;;
5414263;Donepezilo;Donepezilo Zentiva;Comprimido revestido por película;10;mg;28;unidade(s);50002406;5.00;False comercializado;True;;;;;
5414271;Donepezilo;Donepezilo Zentiva;Comprimido revestido por película;10;mg;56;unidade(s);50002414;8.57;Comercializado;True;;;;;
5414248;Donepezilo;Donepezilo Zentiva;Comprimido revestido por película;5;mg;28;unidade(s);50002376;4.60;Comercializado;True;;;;;
5414255;Donepezilo;Donepezilo Zentiva;Comprimido revestido por película;5;mg;56;unidade(s);50002392;8.20;Comercializado;True;;;;;
4025680;Memantina;Ebixa;Solução oral;5;mg/0.5 ml;1;unidade(s) - 50 ml;50035975;57.47;Comercializado;False;;;;;
5113709;Memantina;Ebixa;Comprimido revestido por película;(5;mg)+(10 mg)+(15 mg)+(20 mg);28;unidade(s);50136810;31.56;Comercializado;False;;;;;
4159380;Memantina;Ebixa;Comprimido revestido por película;10;mg;56;unidade(s);50032917;46.36;Comercializado;False;;;;;
4159281;Memantina;Ebixa;Comprimido revestido por película;10;mg;28;unidade(s);50032909;23.77;Comercializado;False;;;;;
5113725;Memantina;Ebixa;Comprimido revestido por película;20;mg;28;unidade(s);50051920;47.51;Comercializado;False;;;;;
5020789;Rivastigmina;Exelon;Solução oral;2;mg/ml;1;unidade(s) - 50 ml;50022660;31.27;False comercializado;False;;;;;
2707784;Rivastigmina;Exelon;Cápsula;1.5;mg;28;unidade(s);50007858;12.82;Comercializado;False;;;;;
2708089;Rivastigmina;Exelon;Cápsula;3;mg;28;unidade(s);50007777;18.63;Comercializado;False;;;;;
2708188;Rivastigmina;Exelon;Cápsula;3;mg;56;unidade(s);50007750;36.29;Comercializado;False;;;;;
2708485;Rivastigmina;Exelon;Cápsula;4.5;mg;56;unidade(s);50007874;45.25;Comercializado;False;;;;;
2708386;Rivastigmina;Exelon;Cápsula;4.5;mg;28;unidade(s);50007890;23.21;Comercializado;False;;;;;
2708683;Rivastigmina;Exelon;Cápsula;6;mg;28;unidade(s);50007815;26.24;Comercializado;False;;;;;
2708782;Rivastigmina;Exelon;Cápsula;6;mg;56;unidade(s);50007793;49.21;Comercializado;False;;;;;
5493424;Rivastigmina;Exelon;Adesivo transdérmico;13.3;mg/24 h;30;unidade(s);50062158;79.60;Comercializado;False;;;;;
5064704;Rivastigmina;Exelon;Adesivo transdérmico;4.6;mg/24 h;7;unidade(s);50049895;12.50;Comercializado;False;;;;;
5064712;Rivastigmina;Exelon;Adesivo transdérmico;4.6;mg/24 h;30;unidade(s);50049909;47.62;Comercializado;False;;;;;
5064720;Rivastigmina;Exelon;Adesivo transdérmico;9.5;mg/24 h;30;unidade(s);50049925;60.20;Comercializado;False;;;;;
5396452;Galantamina;Galantamina Aurovitas;Cápsula de libertação prolongada;16;mg;28;unidade(s);50042360;40.39;Comercializado;True;;;;;
5396460;Galantamina;Galantamina Aurovitas;Cápsula de libertação prolongada;24;mg;28;unidade(s);50042408;45.13;Comercializado;True;;;;;
5396445;Galantamina;Galantamina Aurovitas;Cápsula de libertação prolongada;8;mg;28;unidade(s);50041649;25.09;Comercializado;True;;;;;
5086103;Galantamina;Galantamina Azevedos;Comprimido revestido por película;12;mg;56;unidade(s);50025910;48.25;Comercializado;True;;;;;
5085865;Galantamina;Galantamina Azevedos;Comprimido revestido por película;4;mg;14;unidade(s);50025864;8.47;Comercializado;True;;;;;
5085907;Galantamina;Galantamina Azevedos;Comprimido revestido por película;4;mg;56;unidade(s);50025872;25.10;Comercializado;True;;;;;
5086004;Galantamina;Galantamina Azevedos;Comprimido revestido por película;8;mg;56;unidade(s);50025899;37.93;Comercializado;True;;;;;
5435755;Galantamina;Galantamina Ciclum;Cápsula de libertação prolongada;16;mg;28;unidade(s);50042360;24.27;Comercializado;True;;;;;
5435763;Galantamina;Galantamina Ciclum;Cápsula de libertação prolongada;24;mg;28;unidade(s);50042408;32.23;Comercializado;True;;;;;
5435748;Galantamina;Galantamina Ciclum;Cápsula de libertação prolongada;8;mg;28;unidade(s);50041649;17.67;Comercializado;True;;;;;
5380365;Galantamina;Galantamina Generis;Cápsula de libertação prolongada;16;mg;28;unidade(s);50042360;34.66;Comercializado;True;;;;;
5380373;Galantamina;Galantamina Generis;Cápsula de libertação prolongada;24;mg;28;unidade(s);50042408;38.84;Comercializado;True;;;;;
5380357;Galantamina;Galantamina Generis;Cápsula de libertação prolongada;8;mg;28;unidade(s);50041649;21.29;Comercializado;True;;;;;
5086343;Galantamina;Galantamina Generis;Comprimido revestido por película;12;mg;56;unidade(s);50025910;48.21;Comercializado;True;;;;;
5086129;Galantamina;Galantamina Generis;Comprimido revestido por película;4;mg;14;unidade(s);50025864;8.27;Comercializado;True;;;;;
5086145;Galantamina;Galantamina Generis;Comprimido revestido por película;4;mg;56;unidade(s);50025872;25.09;Comercializado;True;;;;;
5086301;Galantamina;Galantamina Generis;Comprimido revestido por película;8;mg;56;unidade(s);50025899;39.91;Comercializado;True;;;;;
5339734;Galantamina;Galantamina Krka;Cápsula de libertação prolongada;16;mg;28;unidade(s);50042360;34.66;Comercializado;True;;;;;
5339775;Galantamina;Galantamina Krka;Cápsula de libertação prolongada;24;mg;28;unidade(s);50042408;38.84;Comercializado;True;;;;;
5339676;Galantamina;Galantamina Krka;Cápsula de libertação prolongada;8;mg;28;unidade(s);50041649;21.29;Comercializado;True;;;;;
5413562;Galantamina;Galantamina Labesfal;Comprimido revestido por película;12;mg;56;unidade(s);50025910;43.88;Temporariamente indisponível;True;;;;;
5413349;Galantamina;Galantamina Labesfal;Comprimido revestido por película;4;mg;14;unidade(s);50025864;7.92;Temporariamente indisponível;True;;;;;
5413364;Galantamina;Galantamina Labesfal;Comprimido revestido por película;4;mg;56;unidade(s);50025872;23.35;Temporariamente indisponível;True;;;;;
5413463;Galantamina;Galantamina Labesfal;Comprimido revestido por película;8;mg;56;unidade(s);50025899;38.46;Temporariamente indisponível;True;;;;;
5478201;Galantamina;Galantamina Labesfal LP;Cápsula de libertação prolongada;16;mg;28;unidade(s);50042360;33.27;Comercializado;True;;;;;
5478219;Galantamina;Galantamina Labesfal LP;Cápsula de libertação prolongada;24;mg;28;unidade(s);50042408;37.24;Comercializado;True;;;;;
5478177;Galantamina;Galantamina Labesfal LP;Cápsula de libertação prolongada;8;mg;28;unidade(s);50041649;20.42;Comercializado;True;;;;;
5414107;Galantamina;Galantamina Mylan;Cápsula de libertação prolongada;16;mg;28;unidade(s);50042360;40.09;Comercializado;True;;;;;
5414164;Galantamina;Galantamina Mylan;Cápsula de libertação prolongada;24;mg;28;unidade(s);50042408;45.13;Comercializado;True;;;;;
5414024;Galantamina;Galantamina Mylan;Cápsula de libertação prolongada;8;mg;28;unidade(s);50041649;25.09;Comercializado;True;;;;;
5380274;Galantamina;Galantamina Sandoz;Cápsula de libertação prolongada;16;mg;28;unidade(s);50042360;40.39;Comercializado;True;;;;;
5380308;Galantamina;Galantamina Sandoz;Cápsula de libertação prolongada;24;mg;28;unidade(s);50042408;45.13;Comercializado;True;;;;;
5380266;Galantamina;Galantamina Sandoz;Cápsula de libertação prolongada;8;mg;28;unidade(s);50041649;25.09;Comercializado;True;;;;;
5594056;Galantamina;Galantamina Teva;Cápsula de libertação prolongada;16;mg;28;unidade(s);50042360;25.55;Comercializado;True;;;;;
5594429;Galantamina;Galantamina Teva;Cápsula de libertação prolongada;24;mg;28;unidade(s);50042408;33.93;Comercializado;True;;;;;
5594049;Galantamina;Galantamina Teva;Cápsula de libertação prolongada;8;mg;28;unidade(s);50041649;18.60;Comercializado;True;;;;;
5087762;Galantamina;Galantamina Teva;Comprimido revestido por película;4;mg;14;unidade(s);50025864;8.47;Comercializado;True;;;;;
5087770;Galantamina;Galantamina Teva;Comprimido revestido por película;4;mg;56;unidade(s);50025872;25.10;Comercializado;True;;;;;
5087812;Galantamina;Galantamina Teva;Comprimido revestido por película;8;mg;56;unidade(s);50025899;39.91;Comercializado;True;;;;;
5565056;Galantamina;Galantamina Zentiva;Cápsula de libertação prolongada;16;mg;28;unidade(s);50042360;31.95;Comercializado;True;;;;;
5565064;Galantamina;Galantamina Zentiva;Cápsula de libertação prolongada;24;mg;28;unidade(s);50042408;35.72;Comercializado;True;;;;;
5565049;Galantamina;Galantamina Zentiva;Cápsula de libertação prolongada;8;mg;28;unidade(s);50041649;19.58;Comercializado;True;;;;;
5492442;Memantina;Memantina Alter;Comprimido revestido por película;10;mg;56;unidade(s);50032917;14.10;Comercializado;True;;;;;
5492434;Memantina;Memantina Alter;Comprimido revestido por película;10;mg;28;unidade(s);50032909;11.01;Comercializado;True;;;;;
5492467;Memantina;Memantina Alter;Comprimido revestido por película;20;mg;28;unidade(s);50051920;14.10;Comercializado;True;;;;;
5552435;Memantina;Memantina Aluzime;Comprimido revestido por película;10;mg;28;unidade(s);50032909;12.99;Comercializado;True;;;;;
5552427;Memantina;Memantina Aluzime;Comprimido revestido por película;10;mg;56;unidade(s);50032917;22.39;Comercializado;True;;;;;
5552468;Memantina;Memantina Aluzime;Comprimido revestido por película;20;mg;28;unidade(s);50051920;22.39;Comercializado;True;;;;;
5666425;Memantina;Memantina Aristo;Comprimido revestido por película;10;mg;28;unidade(s);50032909;7.03;Comercializado;True;;;;;
5666441;Memantina;Memantina Aristo;Comprimido revestido por película;20;mg;28;unidade(s);50051920;13.08;Comercializado;True;;;;;
5579131;Memantina;Memantina Aurobindo;Comprimido revestido por película;10;mg;28;unidade(s);50032909;9.59;Comercializado;True;;;;;
5579149;Memantina;Memantina Aurobindo;Comprimido revestido por película;10;mg;56;unidade(s);50032917;16.91;Comercializado;True;;;;;
5579156;Memantina;Memantina Aurobindo;Comprimido revestido por película;20;mg;28;unidade(s);50051920;16.91;Comercializado;True;;;;;
